自对弈生成:1000 局 × 10,000 节点/步,12 workers → data/selfplay.jsonl
生成开局(基线引擎,16 ply,top-3 随机)…

  1/1000 局完成,样本 38(0.1 min)   
  2/1000 局完成,样本 87(0.1 min)   
  3/1000 局完成,样本 140(0.1 min)   
  4/1000 局完成,样本 210(0.1 min)   
  5/1000 局完成,样本 309(0.1 min)   
  6/1000 局完成,样本 418(0.1 min)   
  7/1000 局完成,样本 474(0.1 min)   
  8/1000 局完成,样本 560(0.1 min)   
  9/1000 局完成,样本 647(0.1 min)   
  10/1000 局完成,样本 741(0.1 min)   
  11/1000 局完成,样本 782(0.1 min)   
  12/1000 局完成,样本 826(0.2 min)   
  100/1000 局完成,样本 7823(0.8 min)   
  101/1000 局完成,样本 7917(0.8 min)   
  102/1000 局完成,样本 8003(0.8 min)   
  103/1000 局完成,样本 8079(0.8 min)   
  104/1000 局完成,样本 8188(0.8 min)   
  105/1000 局完成,样本 8244(0.8 min)   
  106/1000 局完成,样本 8332(0.8 min)   
  107/1000 局完成,样本 8381(0.8 min)   
  108/1000 局完成,样本 8478(0.8 min)   
  109/1000 局完成,样本 8522(0.8 min)   
  110/1000 局完成,样本 8560(0.8 min)   
  111/1000 局完成,样本 8713(0.8 min)   
  112/1000 局完成,样本 8789(0.8 min)   
  200/1000 局完成,样本 16003(1.4 min)   
  201/1000 局完成,样本 16056(1.4 min)   
  202/1000 局完成,样本 16155(1.4 min)   
  203/1000 局完成,样本 16204(1.4 min)   
  204/1000 局完成,样本 16242(1.4 min)   
  205/1000 局完成,样本 16287(1.4 min)   
  206/1000 局完成,样本 16440(1.5 min)   
  207/1000 局完成,样本 16549(1.5 min)   
  208/1000 局完成,样本 16634(1.5 min)   
  209/1000 局完成,样本 16731(1.5 min)   
  210/1000 局完成,样本 16775(1.5 min)   
  211/1000 局完成,样本 16877(1.5 min)   
  212/1000 局完成,样本 16947(1.5 min)   
  300/1000 局完成,样本 23801(2.1 min)   
  301/1000 局完成,样本 23839(2.1 min)   
  302/1000 局完成,样本 23888(2.1 min)   
  303/1000 局完成,样本 23987(2.1 min)   
  304/1000 局完成,样本 24057(2.1 min)   
